stim,x_val,y_val,distance_O
materials/images/blueB1.png,0.04,0.98,1.02
materials/images/blueB2.png,0.12,0.74,0.86
materials/images/blueB3.png,0.24,0.88,1.12
materials/images/blueB4.png,0.36,0.04,0.4
materials/images/blueB5.png,0.56,0.1,0.66
materials/images/blueB6.png,0.7,0.52,1.22
materials/images/redA1.png,0.02,0.02,0.04
materials/images/redA2.png,0.08,0.08,0.16
materials/images/redA3.png,0.14,0.14,0.28
materials/images/redA4.png,0.2,0.2,0.4
materials/images/redA5.png,0.26,0.26,0.52
materials/images/redA6.png,0.32,0.32,0.64
materials/images/yGen1.png,0.12,0.28,0.4
materials/images/yGen2.png,0.28,0.12,0.4
materials/images/yGen3.png,0.48,0.48,0.96
materials/images/yGen4.png,0.6,0.6,1.2
materials/images/yGen5.png,0.8,0.6,1.4
