block_data,correct_category,count,mean,std,min,25%,50%,75%,max
1,Alpha,210.0,0.6904761904761905,0.46340198419075124,0.0,0.0,1.0,1.0,1.0
1,Beta,210.0,0.49523809523809526,0.5011720143977448,0.0,0.0,0.0,1.0,1.0
2,Alpha,210.0,0.7333333333333333,0.4432733108029125,0.0,0.0,1.0,1.0,1.0
2,Beta,210.0,0.7095238095238096,0.4550669143758759,0.0,0.0,1.0,1.0,1.0
3,Alpha,198.0,0.8080808080808081,0.39480812474649146,0.0,1.0,1.0,1.0,1.0
3,Beta,198.0,0.702020202020202,0.4585299392335936,0.0,0.0,1.0,1.0,1.0
4,Alpha,174.0,0.7816091954022989,0.4143464065909589,0.0,1.0,1.0,1.0,1.0
4,Beta,174.0,0.8160919540229885,0.38852725132427096,0.0,1.0,1.0,1.0,1.0
5,Alpha,108.0,0.8240740740740741,0.38253223439287043,0.0,1.0,1.0,1.0,1.0
5,Beta,108.0,0.8425925925925926,0.36588229139925693,0.0,1.0,1.0,1.0,1.0
6,Alpha,60.0,0.7666666666666667,0.42652186808509857,0.0,1.0,1.0,1.0,1.0
6,Beta,60.0,0.8833333333333333,0.32373177151309335,0.0,1.0,1.0,1.0,1.0
7,Alpha,30.0,0.8333333333333334,0.3790490217894517,0.0,1.0,1.0,1.0,1.0
7,Beta,30.0,0.9,0.3051285766293646,0.0,1.0,1.0,1.0,1.0
8,Alpha,12.0,0.9166666666666666,0.28867513459481287,0.0,1.0,1.0,1.0,1.0
8,Beta,12.0,0.9166666666666666,0.28867513459481287,0.0,1.0,1.0,1.0,1.0
