,pnum_Generative,num2crit_Generative,condition_Generative,test_1_Generative,test_2_Generative,test_3_Generative,test_4_Generative,test_5_Generative,alpha_p2b1_Generative,beta_p2b1_Generative,gamma_p2b1_Generative,delta_p2b1_Generative,alpha_p2b2_Generative,beta_p2b2_Generative,gamma_p2b2_Generative,delta_p2b2_Generative,total_novel_cat_Generative,total_gamma_Generative,total_delta_Generative,total_fam_cat_Generative,total_alpha_Generative,total_beta_Generative,novel_cat_p2b1_Generative,novel_cat_p2b2_Generative,pnum_Discriminative,num2crit_Discriminative,condition_Discriminative,test_1_Discriminative,test_2_Discriminative,test_3_Discriminative,test_4_Discriminative,test_5_Discriminative,alpha_p2b1_Discriminative,beta_p2b1_Discriminative,gamma_p2b1_Discriminative,delta_p2b1_Discriminative,alpha_p2b2_Discriminative,beta_p2b2_Discriminative,gamma_p2b2_Discriminative,delta_p2b2_Discriminative,total_novel_cat_Discriminative,total_gamma_Discriminative,total_delta_Discriminative,total_fam_cat_Discriminative,total_alpha_Discriminative,total_beta_Discriminative,novel_cat_p2b1_Discriminative,novel_cat_p2b2_Discriminative
count,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
mean,11045.42857,4.464285714,2,0.071428571,0.357142857,0.857142857,1,0.928571429,3.392857143,2.285714286,1.964285714,2.642857143,3.428571429,2.178571429,2.571428571,3.142857143,10.32142857,4.535714286,5.785714286,11.28571429,6.821428571,4.464285714,4.607142857,5.714285714,11047.23077,4.730769231,1,0.192307692,0.230769231,0.807692308,0.846153846,0.846153846,3.807692308,2.423076923,1.730769231,2.923076923,4.115384615,2.307692308,2.730769231,3.769230769,11.15384615,4.461538462,6.692307692,12.65384615,7.923076923,4.730769231,4.653846154,6.5
std,24.03920959,1.426784597,0,0.262265264,0.487950036,0.356348323,0,0.262265264,1.547741143,1.329359157,1.07089934,1.339272487,1.230133128,1.218790275,1.525792361,1.957214304,4.037358611,2.168497395,2.846142846,3.904955473,2.495233551,2.268661587,1.770944208,2.942122475,22.36480752,1.563526586,0,0.401918476,0.429668924,0.401918476,0.367946484,0.367946484,1.470217148,1.238485427,1.041448695,1.293772064,1.032547261,1.349643828,1.115623317,1.680659211,3.171022645,1.55514036,2.05463828,3.097641783,2.0576312,1.778936588,1.998845821,2.437211521
min,11007,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,3,1,0,0,1,11008,2,1,0,0,0,0,0,1,0,0,0,1,0,1,1,4,1,3,4,2,2,0,2
25%,11024.5,3.75,2,0,0,1,1,1,2,1,1,2,3,1,1.75,1,8,3,3.75,9.75,5,3,3,3.75,11030.5,4,1,0,0,1,1,1,3,1.25,1,2,4,1,2,2.25,9,4,5,11,7,3.25,3,5
50%,11046,4,2,0,0,1,1,1,4,2,2,3,4,2,2.5,3.5,10,4.5,6,12,8,5,4.5,5.5,11047,4.5,1,0,0,1,1,1,4,3,2,3,4,2,3,4,12,5,6.5,12.5,8,4.5,5,7
75%,11066,5,2,0,1,1,1,1,4,3,3,3.25,4,3,3.25,4.25,13,6,8,14,8,5.25,6,7.25,11067,5,1,0,0,1,1,1,5,3,2,4,5,3,3,5,13.75,6,8,14,9.75,6,6,8
max,11083,8,2,1,1,1,1,1,6,5,4,5,5,4,6,6,19,9,11,17,10,9,7,12,11082,8,1,1,1,1,1,1,6,5,4,5,6,5,6,6,16,7,10,20,12,9,8,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Note:,p2b1 means training phase 2 block 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,p2b2 means training phase 2 block 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"if something is labeled as total, it means the sum of that item from block 1 and 2 of training phase 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
